method,rmse,max_dev,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
TSAI,0.003279487,0.005981585,0.703783049212,-0.710384961432,-0.00652887527476,0.00951401842973,0.710308919366,0.703807064149,-0.0108099733222,-0.0593091323029,0.0122743110209,0.0029703576455,0.999920255953,0.0566466489718,0,0,0,1
HORAUD,0.003298610,0.006093736,0.702876800353,-0.711274169967,-0.00729785327356,0.00975173035112,0.711196744256,0.702910682373,-0.0107593478369,-0.0590983632692,0.0127825852264,0.00237228649327,0.999915485314,0.0567417424116,0,0,0,1
PARK,0.003305833,0.006105561,0.702783282743,-0.711366617137,-0.00729338880934,0.00975814986967,0.71129021511,0.702817303445,-0.0106802558953,-0.0590833716464,0.0127234973624,0.00231818920358,0.99991636581,0.0567571876634,0,0,0,1
DANIILIDIS,0.003424315,0.006555408,0.701150568814,-0.71296643225,-0.00816984309925,0.00952218679634,0.712861973047,0.701191810284,-0.0125639394404,-0.0576106953984,0.0146862941503,0.00298524281397,0.999887694238,0.0546286928309,0,0,0,1
ANDREFF,0.006801139,0.013729557,0.701113698845,-0.713004746171,-0.0079883182923,0.00137763226404,0.712915585954,0.701155148428,-0.0115249788481,-0.0457240928521,0.0138184151162,0.00238532393318,0.999901675983,0.0722741832757,0,0,0,1
