method,rmse,max_dev,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
TSAI,0.003145472,0.005462999,0.699596129244,-0.714457775149,-0.0107398080195,0.0108253673515,0.714345664457,0.699677490026,-0.0127154088565,-0.0573623771483,0.0165990246401,0.00122371552195,0.999861477856,0.0556677519085,0,0,0,1
HORAUD,0.003192687,0.005598987,0.698753544855,-0.715272672804,-0.0113352146921,0.0110069254487,0.715162868148,0.698845164531,-0.0125502204345,-0.0571602366342,0.016898389691,0.000662986367055,0.999856992212,0.0557397613895,0,0,0,1
PARK,0.003201442,0.005601105,0.698709257613,-0.715316874836,-0.0112757217189,0.010994675391,0.715209231673,0.698799963095,-0.0124244319009,-0.0571615793388,0.01676687972,0.000616565322632,0.999859235889,0.0557546254744,0,0,0,1
DANIILIDIS,0.003392989,0.006449658,0.697127119635,-0.716825369913,-0.0132351093043,0.0110608271464,0.716673306012,0.697252257948,-0.0147871983929,-0.0556034100726,0.0198280488046,0.000823307482562,0.999803065931,0.0536618403998,0,0,0,1
ANDREFF,0.007534040,0.014934540,0.69700765719,-0.716953838245,-0.0125506830039,0.00178907948632,0.716829854078,0.697120581078,-0.0133362565836,-0.0420050102022,0.018310819774,0.000298768690755,0.999832298246,0.072806285057,0,0,0,1
