method,rmse,max_dev,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
ROBOT_WORLD_HAND_EYE_SHAH,0.002515142,0.004457094,-0.984256285553,0.176678016111,-0.00494398344094,0.413515316463,0.0706059536772,0.367388001066,-0.927383877355,0.914612395827,-0.16203198343,-0.913132485073,-0.374078469108,0.546283640083,0,0,0,1
ROBOT_WORLD_HAND_EYE_LI,0.024190942,0.044543508,-0.984235591969,0.176822383668,-0.00376086889586,0.380048350637,0.0696315913918,0.367863798404,-0.927268929332,0.878672494237,-0.162578414868,-0.912912958862,-0.374377067355,0.47505343778,0,0,0,1
